AIA193,AIA211,HMI_m
2019-11-28T04-53-27.fits,2019-11-28T03-42-40.fits,2019-11-24T06-01-30.fits
2019-10-31T05-22-26.fits,2019-10-31T05-22-32.fits,2019-10-27T06-01-30.fits
2016-02-01T03-34-35.fits,2016-02-01T03-34-40.fits,2016-01-28T03-01-30.fits
2018-11-18T08-45-01.fits,2018-11-18T08-45-07.fits,2018-11-14T09-01-30.fits
2015-06-21T05-47-23.fits,2015-06-21T05-47-28.fits,2015-06-17T06-01-30.fits
2015-11-28T04-43-04.fits,2015-11-28T04-43-09.fits,2015-11-24T06-01-30.fits
2016-04-18T03-41-02.fits,2016-04-18T03-41-07.fits,2016-04-14T03-01-30.fits
2019-11-15T11-52-18.fits,2019-11-15T11-52-25.fits,2019-11-11T12-01-30.fits
2020-03-21T09-07-54.fits,2020-03-21T05-55-42.fits,2020-03-17T09-01-30.fits
2012-12-06T22-11-00.fits,2012-12-06T22-11-00.fits,2012-12-02T21-01-30.fits
2017-05-11T04-41-28.fits,2017-05-11T04-41-33.fits,2017-05-07T06-01-30.fits
2013-10-06T05-14-47.fits,2013-10-06T05-14-57.fits,2013-10-02T06-01-30.fits
2019-04-01T09-32-08.fits,2019-04-01T09-32-14.fits,2019-03-28T09-01-30.fits
2015-02-08T09-15-00.fits,2015-02-08T09-15-05.fits,2015-02-04T09-01-30.fits
2018-08-13T06-41-34.fits,2018-08-13T06-41-39.fits,2018-08-09T06-01-30.fits
2017-06-29T04-48-44.fits,2017-06-29T04-48-49.fits,2017-06-25T06-01-30.fits
2012-10-26T20-50-06.fits,2012-10-26T20-50-06.fits,2012-10-22T21-01-30.fits
2015-01-27T11-43-23.fits,2015-01-27T11-43-30.fits,2015-01-23T12-01-30.fits
2012-12-08T02-47-51.fits,2012-12-08T02-47-51.fits,2012-12-04T03-01-30.fits
2018-09-24T02-48-06.fits,2018-09-24T02-48-11.fits,2018-09-20T03-01-30.fits
2019-04-16T09-14-24.fits,2019-04-16T09-14-29.fits,2019-04-12T09-01-30.fits
2020-04-28T03-41-35.fits,2020-04-28T02-36-39.fits,2020-04-24T03-01-30.fits
2015-07-31T05-48-32.fits,2015-07-31T05-48-37.fits,2015-07-27T06-01-30.fits
2012-10-22T13-33-09.fits,2012-10-22T13-33-09.fits,2012-10-18T15-01-30.fits
2013-09-10T06-56-01.fits,2013-09-10T06-56-09.fits,2013-09-06T06-01-30.fits
2018-12-28T00-39-04.fits,2018-12-28T00-39-10.fits,2018-12-24T00-01-30.fits
2016-04-09T01-30-07.fits,2016-04-09T01-30-15.fits,2016-04-05T00-01-30.fits
2014-11-13T05-50-45.fits,2014-11-13T05-50-50.fits,2014-11-09T06-01-30.fits
2014-12-03T00-56-39.fits,2014-12-03T00-56-44.fits,2014-11-29T00-01-30.fits
2019-09-30T06-18-44.fits,2019-09-30T06-18-50.fits,2019-09-26T06-01-30.fits
2012-10-25T01-19-14.fits,2012-10-25T01-19-14.fits,2012-10-21T00-01-30.fits
2016-09-15T02-36-06.fits,2016-09-15T02-36-11.fits,2016-09-11T03-01-30.fits
2020-02-07T04-57-15.fits,2020-02-07T04-57-21.fits,2020-02-03T06-01-30.fits
2019-10-09T03-56-00.fits,2019-10-09T03-56-05.fits,2019-10-05T03-01-30.fits
2014-05-23T03-30-26.fits,2014-05-23T03-30-34.fits,2014-05-19T03-01-30.fits
2012-10-24T14-12-11.fits,2012-10-24T14-12-11.fits,2012-10-20T15-01-30.fits
2018-08-20T09-25-13.fits,2018-08-20T09-25-17.fits,2018-08-16T09-01-30.fits
2012-10-18T23-57-31.fits,2012-10-18T23-57-31.fits,2012-10-15T00-01-30.fits
2014-07-17T07-43-12.fits,2014-07-17T07-43-19.fits,2014-07-13T09-01-30.fits
2012-10-22T14-24-54.fits,2012-10-22T14-24-54.fits,2012-10-18T15-01-30.fits
2019-08-01T06-42-05.fits,2019-08-01T06-42-10.fits,2019-07-28T06-01-30.fits
2015-01-04T05-24-52.fits,2015-01-04T05-24-56.fits,2014-12-31T06-01-30.fits
2019-05-11T05-27-09.fits,2019-05-11T05-27-14.fits,2019-05-07T06-01-30.fits
2019-08-26T01-30-02.fits,2019-08-26T01-30-08.fits,2019-08-22T00-01-30.fits
2018-03-08T05-40-41.fits,2018-03-08T05-40-32.fits,2018-03-04T06-01-30.fits
2017-05-05T06-50-12.fits,2017-05-05T06-50-17.fits,2017-05-01T06-01-30.fits
2015-04-27T05-48-38.fits,2015-04-27T05-48-41.fits,2015-04-23T06-01-30.fits
2012-10-18T13-32-37.fits,2012-10-18T13-32-37.fits,2012-10-14T15-01-30.fits
2014-01-22T07-56-45.fits,2014-01-22T07-56-53.fits,2014-01-18T09-01-30.fits
2017-07-01T05-42-03.fits,2017-07-01T05-42-08.fits,2017-06-27T06-01-30.fits
2015-07-08T01-30-05.fits,2015-07-08T01-30-10.fits,2015-07-04T00-01-30.fits
2012-10-24T19-10-36.fits,2012-10-24T19-10-36.fits,2012-10-20T18-01-30.fits
2012-10-22T13-56-20.fits,2012-10-22T13-56-20.fits,2012-10-18T15-01-30.fits
2017-04-02T04-45-47.fits,2017-04-02T04-45-52.fits,2017-03-29T06-01-30.fits
2015-12-30T06-53-48.fits,2015-12-30T06-53-52.fits,2015-12-26T06-01-30.fits
2019-04-30T10-39-17.fits,2019-04-30T10-39-23.fits,2019-04-26T12-01-30.fits
2012-10-18T01-07-37.fits,2012-10-18T01-07-37.fits,2012-10-14T00-01-30.fits
2017-09-11T02-32-41.fits,2017-09-11T02-32-45.fits,2017-09-07T03-01-30.fits
2019-02-15T10-15-37.fits,2019-02-15T10-15-26.fits,2019-02-11T09-01-30.fits
2016-11-29T07-33-51.fits,2016-11-29T07-33-56.fits,2016-11-25T09-01-30.fits
2017-05-16T08-57-30.fits,2017-05-16T08-57-34.fits,2017-05-12T09-01-30.fits
2016-09-27T06-09-27.fits,2016-09-27T06-09-32.fits,2016-09-23T06-01-30.fits
2015-01-11T06-13-09.fits,2015-01-11T06-13-12.fits,2015-01-07T06-01-30.fits
2020-05-08T09-16-38.fits,2020-05-08T09-16-43.fits,2020-05-04T09-01-30.fits
2016-10-05T04-58-19.fits,2016-10-05T04-58-25.fits,2016-10-01T06-01-30.fits
2016-05-09T01-30-06.fits,2016-05-09T01-30-10.fits,2016-05-05T00-01-30.fits
2013-01-24T07-19-52.fits,2013-01-24T07-20-01.fits,2013-01-20T06-01-30.fits
2014-03-08T05-05-40.fits,2014-03-08T05-05-47.fits,2014-03-04T06-01-30.fits
2017-03-31T06-51-11.fits,2017-03-31T06-51-15.fits,2017-03-27T06-01-30.fits
2017-11-16T03-33-57.fits,2017-11-16T03-34-02.fits,2017-11-12T03-01-30.fits
2016-12-04T06-22-35.fits,2016-12-04T06-22-40.fits,2016-11-30T06-01-30.fits
2013-06-11T12-59-11.fits,2013-06-11T12-59-19.fits,2013-06-07T12-01-30.fits
2015-03-03T03-40-11.fits,2015-03-03T03-40-16.fits,2015-02-27T03-01-30.fits
2016-02-11T10-17-19.fits,2016-02-11T10-17-24.fits,2016-02-07T09-01-30.fits
2013-07-12T10-19-07.fits,2013-07-12T10-19-15.fits,2013-07-08T09-01-30.fits
2016-08-30T05-52-55.fits,2016-08-30T05-53-01.fits,2016-08-26T06-01-30.fits
2016-01-30T09-03-07.fits,2016-01-30T09-03-12.fits,2016-01-26T09-01-30.fits
2014-09-19T04-41-33.fits,2014-09-19T04-41-40.fits,2014-09-15T06-01-30.fits
2014-09-28T03-30-39.fits,2014-09-28T03-30-46.fits,2014-09-24T03-01-30.fits
2019-11-05T06-19-29.fits,2019-11-05T06-19-37.fits,2019-11-01T06-01-30.fits
2013-10-16T05-42-18.fits,2013-10-16T05-42-25.fits,2013-10-12T06-01-30.fits
2014-02-06T06-49-09.fits,2014-02-06T06-49-13.fits,2014-02-02T06-01-30.fits
2016-12-27T08-59-01.fits,2016-12-27T08-59-05.fits,2016-12-23T09-01-30.fits
2017-10-27T02-33-34.fits,2017-10-27T02-33-38.fits,2017-10-23T03-01-30.fits
2013-11-27T04-30-20.fits,2013-11-27T04-30-28.fits,2013-11-23T03-01-30.fits
2012-10-24T22-04-23.fits,2012-10-24T22-04-23.fits,2012-10-20T21-01-30.fits
2018-09-30T05-15-37.fits,2018-09-30T05-15-42.fits,2018-09-26T06-01-30.fits
2016-05-02T03-47-12.fits,2016-05-02T03-47-16.fits,2016-04-28T03-01-30.fits
2012-10-19T00-46-36.fits,2012-10-19T00-46-36.fits,2012-10-15T00-01-30.fits
2012-12-07T01-34-00.fits,2012-12-07T01-34-00.fits,2012-12-03T03-01-30.fits
2012-12-07T23-08-17.fits,2012-12-07T23-08-17.fits,2012-12-04T00-01-30.fits
2013-10-18T06-19-44.fits,2013-10-18T06-19-52.fits,2013-10-14T06-01-30.fits
2013-05-20T12-53-13.fits,2013-05-20T12-53-22.fits,2013-05-16T12-01-30.fits
2017-01-11T04-36-34.fits,2017-01-11T04-36-39.fits,2017-01-07T06-01-30.fits
2018-07-15T08-51-26.fits,2018-07-15T08-51-30.fits,2018-07-11T09-01-30.fits
2014-02-05T06-14-30.fits,2014-02-05T06-14-38.fits,2014-02-01T06-01-30.fits
2019-11-23T07-14-43.fits,2019-11-23T07-14-48.fits,2019-11-19T06-01-30.fits
2018-08-24T04-04-14.fits,2018-08-24T04-04-20.fits,2018-08-20T03-01-30.fits
2020-04-08T03-43-29.fits,2020-04-08T04-47-58.fits,2020-04-04T03-01-30.fits
2018-05-24T05-17-03.fits,2018-05-24T05-17-08.fits,2018-05-20T06-01-30.fits
2015-01-01T06-49-49.fits,2015-01-01T06-49-53.fits,2014-12-28T06-01-30.fits
2018-12-11T07-39-44.fits,2018-12-11T07-39-52.fits,2018-12-07T09-01-30.fits
2019-05-25T10-32-36.fits,2019-05-25T10-32-42.fits,2019-05-21T12-01-30.fits
2014-06-01T05-10-34.fits,2014-06-01T05-10-42.fits,2014-05-28T06-01-30.fits
2013-07-18T07-22-29.fits,2013-07-18T07-22-36.fits,2013-07-14T06-01-30.fits
2015-11-06T02-30-06.fits,2015-11-06T02-30-12.fits,2015-11-02T03-01-30.fits
2017-07-03T02-32-52.fits,2017-07-03T02-32-56.fits,2017-06-29T03-01-30.fits
2017-04-28T01-30-05.fits,2017-04-28T01-30-11.fits,2017-04-24T00-01-30.fits
2012-12-06T21-50-37.fits,2012-12-06T21-50-37.fits,2012-12-02T21-01-30.fits
2017-04-03T02-34-49.fits,2017-04-03T02-34-53.fits,2017-03-30T03-01-30.fits
2017-10-31T05-47-11.fits,2017-10-31T05-47-15.fits,2017-10-27T06-01-30.fits
2014-07-16T06-51-21.fits,2014-07-16T06-51-28.fits,2014-07-12T06-01-30.fits
2019-01-30T09-03-27.fits,2019-01-30T09-03-33.fits,2019-01-26T09-01-30.fits
2012-10-19T01-08-46.fits,2012-10-19T01-08-46.fits,2012-10-15T00-01-30.fits
2017-12-13T08-54-47.fits,2017-12-13T08-54-51.fits,2017-12-09T09-01-30.fits
2020-02-20T04-44-38.fits,2020-02-20T04-44-43.fits,2020-02-16T06-01-30.fits
2014-01-17T06-46-22.fits,2014-01-17T06-46-29.fits,2014-01-13T06-01-30.fits
2014-09-10T05-12-37.fits,2014-09-10T05-12-42.fits,2014-09-06T06-01-30.fits
2019-04-13T02-50-05.fits,2019-04-13T02-50-11.fits,2019-04-09T03-01-30.fits
2012-10-26T21-58-40.fits,2012-10-26T21-58-40.fits,2012-10-22T21-01-30.fits
2013-09-29T05-46-01.fits,2013-09-29T05-46-09.fits,2013-09-25T06-01-30.fits
2013-12-19T07-56-16.fits,2013-12-19T07-56-23.fits,2013-12-15T09-01-30.fits
2012-10-19T14-06-44.fits,2012-10-19T14-06-44.fits,2012-10-15T15-01-30.fits
2014-02-16T06-13-06.fits,2014-02-16T06-13-11.fits,2014-02-12T06-01-30.fits
2019-07-11T10-13-43.fits,2019-07-11T10-13-49.fits,2019-07-07T09-01-30.fits
2016-06-12T01-30-06.fits,2016-06-12T01-30-11.fits,2016-06-08T00-01-30.fits
2019-02-08T08-50-51.fits,2019-02-08T08-50-59.fits,2019-02-04T09-01-30.fits
2020-04-19T09-16-07.fits,2020-04-19T09-16-12.fits,2020-04-15T09-01-30.fits
2019-03-20T10-32-52.fits,2019-03-20T10-32-58.fits,2019-03-16T12-01-30.fits
2019-01-28T10-23-43.fits,2019-01-28T10-23-49.fits,2019-01-24T09-01-30.fits
2016-06-19T02-33-35.fits,2016-06-19T02-33-40.fits,2016-06-15T03-01-30.fits
2012-10-17T14-58-14.fits,2012-10-17T14-58-14.fits,2012-10-13T15-01-30.fits
